Transaction Date and Time,Package Name,Reservation Date,Total Transaction Amount,Number of Adults,Number of Kids,Total Number of Tickets,Scanned/Not Scanned,,,
8/13/2020 9:43:00 PM,Sunset Cruise - Premium Admission,2020-08-30 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
8/13/2020 9:43:00 PM,Sunset Cruise - Premium Admission,2020-08-30 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
8/13/2020 9:43:00 PM,Sunset Cruise - Premium Admission,2020-08-30 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
8/13/2020 9:43:00 PM,Sunset Cruise - Premium Admission,2020-08-30 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
8/15/2020 12:23:49 PM,Sunset Cruise - Premium Admission,2020-08-15 18:30,82.913468,2,0,2,Not Scanned,Sunset Cruise , Premium Admission,
8/15/2020 6:49:29 PM,Sunset Cruise - Premium Admission,2020-08-15 18:30,82.913468,2,0,2,Not Scanned,Sunset Cruise , Premium Admission,
8/15/2020 6:49:29 PM,Sunset Cruise - Premium Admission,2020-08-15 18:30,82.913468,2,0,2,Not Scanned,Sunset Cruise , Premium Admission,
8/15/2020 6:49:29 PM,Sunset Cruise - Premium Admission,2020-08-15 18:30,82.913468,2,0,2,Not Scanned,Sunset Cruise , Premium Admission,
8/15/2020 6:49:29 PM,Sunset Cruise - Premium Admission,2020-08-15 18:30,82.913468,2,0,2,Not Scanned,Sunset Cruise , Premium Admission,
8/19/2020 7:47:47 PM,Sunset Cruise - Premium Admission,2020-08-21 18:30,124.370202,3,0,3,Not Scanned,Sunset Cruise , Premium Admission,
8/19/2020 7:47:47 PM,Sunset Cruise - Premium Admission,2020-08-21 18:30,124.370202,3,0,3,Not Scanned,Sunset Cruise , Premium Admission,
8/19/2020 7:47:47 PM,Sunset Cruise - Premium Admission,2020-08-21 18:30,124.370202,3,0,3,Not Scanned,Sunset Cruise , Premium Admission,
8/19/2020 7:47:47 PM,Sunset Cruise - Premium Admission,2020-08-21 18:30,124.370202,3,0,3,Not Scanned,Sunset Cruise , Premium Admission,
8/19/2020 8:50:08 PM,Sunset Cruise - Premium Admission,2020-08-23 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
8/19/2020 8:50:08 PM,Sunset Cruise - Premium Admission,2020-08-23 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
8/19/2020 8:50:08 PM,Sunset Cruise - Premium Admission,2020-08-23 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
8/19/2020 8:50:08 PM,Sunset Cruise - Premium Admission,2020-08-23 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
8/20/2020 4:23:16 AM,Sunset Cruise - Premium Admission,2020-08-21 18:30,124.370202,3,0,3,Scanned,Sunset Cruise , Premium Admission,
8/20/2020 4:23:16 AM,Sunset Cruise - Premium Admission,2020-08-21 18:30,124.370202,3,0,3,Scanned,Sunset Cruise , Premium Admission,
8/20/2020 4:23:16 AM,Sunset Cruise - Premium Admission,2020-08-21 18:30,124.370202,3,0,3,Scanned,Sunset Cruise , Premium Admission,
8/20/2020 4:23:16 AM,Sunset Cruise - Premium Admission,2020-08-21 18:30,124.370202,3,0,3,Scanned,Sunset Cruise , Premium Admission,
8/20/2020 9:56:26 PM,Sunset Cruise - Premium Admission,2020-08-22 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
8/20/2020 9:56:26 PM,Sunset Cruise - Premium Admission,2020-08-22 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
8/20/2020 9:56:26 PM,Sunset Cruise - Premium Admission,2020-08-22 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
8/20/2020 9:56:26 PM,Sunset Cruise - Premium Admission,2020-08-22 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
8/21/2020 11:10:19 AM,Sunset Cruise - Premium Admission,2020-08-21 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
8/21/2020 11:10:19 AM,Sunset Cruise - Premium Admission,2020-08-21 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
8/21/2020 11:10:19 AM,Sunset Cruise - Premium Admission,2020-08-21 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
8/21/2020 11:10:19 AM,Sunset Cruise - Premium Admission,2020-08-21 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
8/21/2020 1:45:45 PM,Sunset Cruise - Premium Admission,2020-08-23 18:30,200.048651,4,1,5,Scanned,Sunset Cruise , Premium Admission,
8/21/2020 1:45:45 PM,Sunset Cruise - Premium Admission,2020-08-23 18:30,200.048651,4,1,5,Scanned,Sunset Cruise , Premium Admission,
8/21/2020 1:45:45 PM,Sunset Cruise - Premium Admission,2020-08-23 18:30,200.048651,4,1,5,Scanned,Sunset Cruise , Premium Admission,
8/21/2020 1:45:45 PM,Sunset Cruise - Premium Admission,2020-08-23 18:30,200.048651,4,1,5,Scanned,Sunset Cruise , Premium Admission,
8/21/2020 3:28:57 PM,Sunset Cruise - Premium Admission,2020-08-21 18:30,82.913468,2,0,2,Not Scanned,Sunset Cruise , Premium Admission,
8/21/2020 3:28:57 PM,Sunset Cruise - Premium Admission,2020-08-21 18:30,82.913468,2,0,2,Not Scanned,Sunset Cruise , Premium Admission,
8/21/2020 3:28:57 PM,Sunset Cruise - Premium Admission,2020-08-21 18:30,82.913468,2,0,2,Not Scanned,Sunset Cruise , Premium Admission,
8/21/2020 3:28:57 PM,Sunset Cruise - Premium Admission,2020-08-21 18:30,82.913468,2,0,2,Not Scanned,Sunset Cruise , Premium Admission,
8/21/2020 9:57:50 PM,Sunset Cruise - Premium Admission,2020-08-23 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
8/21/2020 9:57:50 PM,Sunset Cruise - Premium Admission,2020-08-23 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
8/21/2020 9:57:50 PM,Sunset Cruise - Premium Admission,2020-08-23 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
8/21/2020 9:57:50 PM,Sunset Cruise - Premium Admission,2020-08-23 18:30,82.913468,2,0,2,Scanned,Sunset Cruise , Premium Admission,
8/22/2020 10:35:06 AM,Sunset Cruise - Premium Admission,2020-08-22 18:30,165.826936,4,0,4,Scanned,Sunset Cruise , Premium Admission,
8/22/2020 10:35:06 AM,Sunset Cruise - Premium Admission,2020-08-22 18:30,165.826936,4,0,4,Scanned,Sunset Cruise , Premium Admission,
8/22/2020 10:35:06 AM,Sunset Cruise - Premium Admission,2020-08-22 18:30,165.826936,4,0,4,Scanned,Sunset Cruise , Premium Admission,
8/22/2020 10:35:06 AM,Sunset Cruise - Premium Admission,2020-08-22 18:30,165.826936,4,0,4,Scanned,Sunset Cruise , Premium Admission,
8/22/2020 2:09:39 PM,Sunset Cruise - Premium Admission,2020-08-22 18:30,192.813632,3,2,5,Scanned,Sunset Cruise , Premium Admission,
8/22/2020 2:09:39 PM,Sunset Cruise - Premium Admission,2020-08-22 18:30,192.813632,3,2,5,Scanned,Sunset Cruise , Premium Admission,
8/22/2020 2:09:39 PM,Sunset Cruise - Premium Admission,2020-08-22 18:30,192.813632,3,2,5,Scanned,Sunset Cruise , Premium Admission,
8/22/2020 2:09:39 PM,Sunset Cruise - Premium Admission,2020-08-22 18:30,192.813632,3,2,5,Scanned,Sunset Cruise , Premium Admission,
